Для аудитории 107

080027с03101    имя компа: VM01

080027с03102    имя компа: VM02

080027с03103    имя компа: VM03

080027с03104    имя компа: VM04

080027с03105    имя компа: VM05

080027с03106    имя компа: VM06

080027с03107    имя компа: VM07

080027с03108    имя компа: VM08

080027с03109    имя компа: VM09

080027с03110    имя компа: VM10

080027с03111    имя компа: VM11

080027с03112    имя компа: VM12

080027с03113    имя компа: VM13

080027с03114    имя компа: VM14

080027с03115    имя компа: VM15

080027с03116    имя компа: VM16
